step,gamma,entropy
1,4.573272840205195,2.9328361071728537
2,4.583013541638187,2.9413529125053537
3,4.586143557524994,2.9430004109344505
4,4.590635613643042,2.949769579221371
5,4.589308259509595,2.950942565797888
6,4.587170777925696,2.946623994799489
7,4.57989825373807,2.9443875192463715
8,4.556106076108024,2.939211431349727
9,4.577855455431625,2.9445205281172813
10,4.5676331057426625,2.9431063260117294
11,4.566999398561421,2.9390971200321663
12,4.580065803366691,2.941134468996466
13,4.609210033609379,2.9513462932476684
14,4.629249617754158,2.9606941777818783
15,4.623034247813174,2.9592199618530692
16,4.625261594624572,2.959799659486482
17,4.641668774176306,2.9661785689751854
18,4.6682307291412215,2.9748487238623977
19,4.674863860933991,2.977503916453367
20,4.67484031079188,2.975633246299279
21,4.671108230417817,2.9743308318115784
22,4.678315417696047,2.9783144465817872
23,4.684514749130473,2.9869498482361725
24,4.668660041939054,2.981639684233854
25,4.647117708608055,2.971049105997813
26,4.645073848046527,2.969534358942685
27,4.676364293391133,2.980237501177346
28,4.670659878661965,2.979399835987281
29,4.6855975403883106,2.9870412664681174
30,4.683981867150897,2.9859265358497016
31,4.679167347266665,2.9855623079833618
32,4.675325473184342,2.9798860603651853
33,4.670005444002388,2.9782021112947668
34,4.653073001470849,2.9695779549468146
35,4.670218244066842,2.97640145521285
36,4.663611692102792,2.971315963775661
37,4.6484339299396895,2.9652253317948967
38,4.651858984627689,2.9653485560122177
39,4.628808207640403,2.9557261262603527
40,4.617110218819468,2.9508248403185724
41,4.617432213322217,2.9538295655828253
42,4.632359288056631,2.956932744000352
43,4.626756730170459,2.9540722727060444
44,4.6317980627745765,2.955785436146349
45,4.6234980875913365,2.9517971267745002
46,4.631443947423283,2.9511902102424883
47,4.6300165756139355,2.95153197348053
48,4.614791802104302,2.9557549298479184
49,4.605926108291587,2.952015738652453
50,4.61696168364276,2.9617619181996795
51,4.607759337543802,2.957131855636015
52,4.612095839749286,2.9585212528025107
53,4.606730071000633,2.9518159496112655
54,4.593655261989013,2.945678792947737
55,4.596128390767441,2.9500762633156983
56,4.580975838886583,2.9406590062258724
57,4.594132269350812,2.9443342323330723
58,4.6009186354844,2.9412674356255595
59,4.617136667844245,2.9456923484995645
60,4.599230368396268,2.93798864453656
