k[h/Mpc]    P(k)[h^-3Mpc^3]    error_P(k)
1.000000e-02 3.630296e+05 3.630296e+04
1.211528e-02 2.340779e+05 2.340779e+04
1.467799e-02 1.994312e+05 1.994312e+04
1.778279e-02 1.206818e+05 1.206818e+04
2.154435e-02 1.024134e+05 1.024134e+04
2.610157e-02 7.615749e+04 7.615749e+03
3.162278e-02 5.793894e+04 5.793894e+03
3.831187e-02 4.472598e+04 4.472598e+03
4.641589e-02 2.948160e+04 2.948160e+03
5.623413e-02 2.565982e+04 2.565982e+03
6.812921e-02 1.650988e+04 1.650988e+03
8.254042e-02 1.295238e+04 1.295238e+03
1.000000e-01 1.104232e+04 1.104232e+03
1.211528e-01 7.138761e+03 7.138761e+02
1.467799e-01 5.458451e+03 5.458451e+02
1.778279e-01 4.567289e+03 4.567289e+02
2.154435e-01 3.060065e+03 3.060065e+02
2.610157e-01 2.574705e+03 2.574705e+02
3.162278e-01 1.703981e+03 1.703981e+02
3.831187e-01 1.178661e+03 1.178661e+02
4.641589e-01 1.058031e+03 1.058031e+02
5.623413e-01 7.377275e+02 7.377275e+01
6.812921e-01 4.313653e+02 4.313653e+01
8.254042e-01 4.092231e+02 4.092231e+01
1.000000e+00 3.413533e+02 3.413533e+01
